Date,High Price,Low Price,Close Price,Total Traded Quantity,Turnover (in lacs),No. of Contracts,
07-Nov-2017,432.95,420.5,427.05,3101792,13226.258079,3748,
08-Nov-2017,439.6,430.1,435.15,4412381,19208.31411,4265,
09-Nov-2017,443.45,424.45,429.2,4969389,21784.4007555,3074,
10-Nov-2017,432.6,421.7,426.75,3348288,14296.430204,2245,
13-Nov-2017,429.4,405.25,415.5,3422752,14380.3610675,4331,
14-Nov-2017,406.4,391.5,396.95,131335426,525916.076692,18704,
15-Nov-2017,399.4,375.15,377.65,3278094,12738.1733325,6002,
16-Nov-2017,392.5,380.35,384.65,5469875,21181.865383,4990,
17-Nov-2017,388.8,376.55,380.15,3328012,12699.4382715,3087,
20-Nov-2017,392.9,381.7,383.7,6432184,24846.9253445,4762,
21-Nov-2017,386.95,381,383.55,3626367,13902.2292985,2004,
22-Nov-2017,385.8,373.6,376.45,5752823,21699.191395,3204,
23-Nov-2017,386.4,373.1,374.6,4561646,17344.6548945,5116,
24-Nov-2017,382,376.4,380.8,2487171,9441.777096,2965,
27-Nov-2017,387.7,378.4,386.6,2416421,9295.2757615,5547,
28-Nov-2017,387.35,376.05,377.85,4127842,15772.3396495,8488,
29-Nov-2017,384.9,376.45,384.15,6010951,22933.047936,7329,
30-Nov-2017,387.9,380.6,383.7,12955743,49765.161943,8361,
01-Dec-2017,388.4,382.85,385.95,3519059,13570.1195375,2536,
04-Dec-2017,388.45,375.1,376.5,1423770,5404.442133,1935,
05-Dec-2017,380.45,371.25,378.55,2141034,8048.41795,2256,
06-Dec-2017,378.25,366.5,370.35,2172920,8105.0170935,1916,
07-Dec-2017,384.9,367.15,382.35,1768073,6635.983701,2449,
08-Dec-2017,381.55,372.35,373.7,3146713,11797.2298685,2328,
11-Dec-2017,377.9,367.2,368.05,3031658,11227.906892,2774,
12-Dec-2017,369,354.25,355.4,3321358,11905.0962255,4094,
13-Dec-2017,362.9,355.15,357.7,2362236,8493.879015,3173,
14-Dec-2017,362.9,355.1,356.65,2052442,7355.902635,1843,
15-Dec-2017,361.45,353.3,354.5,2416817,8593.128191,2031,
18-Dec-2017,361.9,347.1,357.75,2963083,10560.667563,3287,
19-Dec-2017,363.9,357.5,362.5,1737412,6279.7761775,2264,
20-Dec-2017,366.7,362.5,364.25,2111646,7699.0487755,2349,
21-Dec-2017,365.85,360.25,361.6,1507477,5471.1399105,1773,
22-Dec-2017,365.35,358.75,363.95,2856053,10342.2853035,3030,
26-Dec-2017,370.5,362.65,369.6,1649408,6063.0667445,6192,
27-Dec-2017,371,365.25,367.5,1199421,4424.3605015,5892,
28-Dec-2017,371.8,364.5,368.15,4295438,15852.5910255,7844,
29-Dec-2017,380.55,367.1,378.75,4216334,15871.2876185,4350,
01-Jan-2018,379.9,368.35,369.95,1788442,6644.467071,2679,
02-Jan-2018,380,370.1,378.8,4093118,15448.4756325,3720,
03-Jan-2018,383.45,376.45,378.65,2009516,7627.417942,2405,
04-Jan-2018,381.8,377.25,379.05,4247055,16104.2790335,944,
05-Jan-2018,381.45,371.5,372.6,1576172,5942.3577445,1573,
08-Jan-2018,376.45,372.05,374.4,1754188,6567.7548135,2085,
09-Jan-2018,376.85,367.2,368.4,1659015,6156.835299,1901,
10-Jan-2018,373,364.6,370.8,4204087,15455.6488,2123,
11-Jan-2018,371.75,363.9,367.75,2373477,8708.70853,1822,
12-Jan-2018,376.95,364.05,374.8,2834284,10513.244041,2558,
15-Jan-2018,378.5,369,370.5,1038566,3887.60392,2014,
16-Jan-2018,375.35,366.15,367.95,1797985,6656.344262,2239,
17-Jan-2018,373.2,360.85,366.1,2996802,10994.8579585,4610,
18-Jan-2018,365.05,342.25,343.8,4256014,14905.9820585,8247,
19-Jan-2018,348.55,339.25,346.05,7653870,26301.1170665,4231,
22-Jan-2018,349,339.8,343.5,6688121,23031.3549935,3376,
23-Jan-2018,345.5,337.85,339.4,5668180,19368.7422525,6244,
24-Jan-2018,345.85,338.45,342.3,4933761,16863.1684915,5533,
25-Jan-2018,348.8,340.55,343.45,4683283,16156.567884,8770,
29-Jan-2018,355.65,340.5,353.4,4249433,14760.898936,3533,
30-Jan-2018,354.6,342.1,344.45,3724844,12929.783897,2756,
31-Jan-2018,353.95,343.2,351.55,3997015,13863.309715,2051,
01-Feb-2018,354,343.5,346.85,3045857,10562.3346405,2058,
02-Feb-2018,349.6,341.8,344.85,4467011,15422.5486025,2300,
05-Feb-2018,354.1,330.05,349,2690533,9258.101676,3317,
06-Feb-2018,349.2,328.15,344.95,1662550,5715.0117825,2638,
07-Feb-2018,353.9,336.15,338.55,3376135,11652.8200555,1635,
08-Feb-2018,351.95,340,349.2,1436457,4974.8883815,1442,
09-Feb-2018,349.15,339.05,341.5,3050243,10421.3039,1546,
12-Feb-2018,346.15,336.25,338.25,3252157,11036.2858315,2223,
14-Feb-2018,340.4,325.25,327.4,7362307,24117.5496285,4331,
15-Feb-2018,336.9,327.25,331.05,3526872,11741.1335485,4378,
16-Feb-2018,334.4,322.55,327.55,2397216,7857.4860325,2749,
19-Feb-2018,333.4,325.1,329.85,2593948,8547.8992525,3434,
20-Feb-2018,335.75,322.7,334,2348949,7757.496091,5217,
21-Feb-2018,339.5,332.5,338.05,2192907,7381.1880655,9782,
22-Feb-2018,338.05,330,333.85,8407719,27954.049264,10649,
23-Feb-2018,344.4,330.05,340.4,3108532,10510.884705,2589,
26-Feb-2018,348,335.9,344.45,11037220,38012.834973,2194,
27-Feb-2018,349.35,339.95,344.8,6738482,23159.734326,1489,
28-Feb-2018,351.4,338.9,346.7,41050485,142135.6774805,9281,
01-Mar-2018,352.2,342.25,345.2,3367869,11642.1154125,1435,
05-Mar-2018,342.5,335,339.15,2294182,7769.502207,1245,
06-Mar-2018,340.45,328.8,331.95,10597788,35203.4720055,3576,
07-Mar-2018,336.6,327.65,329.45,10039533,33485.1633585,3623,
08-Mar-2018,344.45,324.5,331.2,7186625,24017.454841,5551,
09-Mar-2018,338.1,328.85,333.15,5488752,18326.251725,2854,
12-Mar-2018,343.6,332.65,339.5,6680146,22480.901553,2036,
13-Mar-2018,350,336,349,2491061,8624.888218,2385,
14-Mar-2018,346.7,337.55,339.15,2244680,7640.568991,1645,
15-Mar-2018,344.85,336.25,337.9,1354562,4615.9609245,1988,
16-Mar-2018,343.4,332.5,334.45,3780358,12746.3792105,1948,
19-Mar-2018,337.15,320.05,325.35,2261162,7427.1289395,2167,
20-Mar-2018,343.95,323.45,341.9,5524750,18717.5950255,4929,
21-Mar-2018,345.8,336.3,337.15,2825185,9576.308229,2289,
22-Mar-2018,344.45,330.9,335.2,2264722,7641.0942335,1750,
23-Mar-2018,344.9,329,342.5,2991192,10130.6190995,3222,
26-Mar-2018,346.3,339.15,343.95,1353062,4652.519067,4558,
27-Mar-2018,346.7,332.75,336.55,3190225,10721.6483215,4672,
28-Mar-2018,342,331.05,336.15,7045038,23661.960633,6867,
02-Apr-2018,344.4,335.9,337.65,1643242,5605.133488,1814,
03-Apr-2018,342.3,334.5,339.15,1165314,3949.271862,1099,
04-Apr-2018,338.95,335,336.95,1385801,4669.4078395,1643,
05-Apr-2018,340.5,330.25,338.05,3807792,12769.6293175,1570,
06-Apr-2018,342.85,335.35,338,5575268,18887.1198355,1402,
09-Apr-2018,340.2,336.25,337.2,5696918,19261.6742335,1190,
10-Apr-2018,341,332.1,335.45,3470927,11702.2975565,1403,
11-Apr-2018,339.9,335.55,337.45,3468729,11710.9125625,1064,
12-Apr-2018,341.55,335.95,340.7,2136706,7230.886928,1472,
13-Apr-2018,348.45,336.9,339.7,2358332,8112.142202,2605,
16-Apr-2018,343.4,334.5,340.05,4175047,14188.794167,1371,
17-Apr-2018,343,330.4,334,2797188,9360.7840785,1378,
18-Apr-2018,338,334.5,336.05,2881187,9680.588272,1075,
19-Apr-2018,338.6,334.4,335.95,2579826,8670.7939625,951,
20-Apr-2018,337.4,326.4,331.1,1307014,4325.392181,1642,
23-Apr-2018,332.6,324.5,328,2475687,8107.835801,3318,
24-Apr-2018,334.6,315.65,329,4979271,16219.858626,9042,
25-Apr-2018,338.95,322.3,325.45,4998560,16349.0834115,7105,
26-Apr-2018,327,310.5,316.1,6209388,19567.6393305,11581,
27-Apr-2018,324.65,313.35,320.25,4360743,13929.9440785,1967,
30-Apr-2018,321.9,312,313.1,3440871,10825.677124,2209,
02-May-2018,318.4,312.35,313.8,5741657,18092.611401,1714,
03-May-2018,327,311.35,324.95,4395421,14208.9576465,3747,
04-May-2018,325,318.65,322.45,2125043,6841.4284175,1602,
07-May-2018,324.45,319.3,320.65,2621067,8393.011731,771,
08-May-2018,324.5,319.6,321,7307907,23439.58756,814,
09-May-2018,328.2,322.15,324.85,2739153,8916.380023,2323,
10-May-2018,328.3,317.2,320.7,2809718,9034.1441355,1325,
11-May-2018,322.85,315.45,319.85,2806644,8924.2764795,1400,
14-May-2018,323.3,313,316,1310795,4179.412975,1302,
15-May-2018,315.65,311.1,312.45,3695713,11574.252633,1766,
16-May-2018,323.8,308.2,315.2,2250017,7082.0238845,1906,
17-May-2018,324.75,312.9,321.75,3255853,10452.9505185,1634,
18-May-2018,322.25,315.1,316.15,1949318,6221.5900305,2135,
21-May-2018,323.5,315.6,321.7,1523518,4892.245775,1529,
22-May-2018,320.7,313.05,315.85,2443082,7716.3576605,1669,
23-May-2018,319.5,313.75,317.3,3690868,11697.992763,834,
24-May-2018,319.55,313.65,318.35,4111643,13011.081799,1243,
25-May-2018,318.15,312,314.85,1105911,3474.4420785,1684,
28-May-2018,317.95,309.2,310.7,1201629,3760.9111255,2398,
29-May-2018,313.8,303.15,304.9,2631933,8056.494633,5126,
30-May-2018,307,298.95,301.15,2554562,7688.827315,6157,
31-May-2018,304,293.35,298.65,11366237,34101.690327,7941,
01-Jun-2018,303.9,298.75,300.65,1271174,3817.547998,1208,
04-Jun-2018,302.15,294,295.15,926733,2752.791753,1797,
05-Jun-2018,298.5,289.5,294.65,2364464,6924.1744885,1516,
06-Jun-2018,297.2,292.75,294.6,1434703,4225.804072,1247,
07-Jun-2018,295.5,292.6,293.8,2471537,7262.659318,1120,
08-Jun-2018,299.45,293.1,298.4,1360769,4046.033745,1238,
11-Jun-2018,302.05,298,300,2123262,6372.669982,1270,
12-Jun-2018,302,298.6,299.75,946261,2839.847096,671,
13-Jun-2018,302.2,296.6,300.5,5147453,15458.1594235,1404,
14-Jun-2018,299.85,294.9,296.5,1055622,3131.0667955,1188,
15-Jun-2018,297.7,291.6,293.6,3264270,9569.438257,1820,
18-Jun-2018,294,288.9,291.3,1377676,4004.6316885,1243,
19-Jun-2018,292.5,285.9,287.75,1300911,3760.893149,1208,
20-Jun-2018,290.9,284.1,285.3,1887084,5419.231838,1506,
21-Jun-2018,286.9,274.55,279.6,5646050,15720.1460765,4208,
22-Jun-2018,287.95,275.45,286,2317644,6584.657978,2446,
25-Jun-2018,293,283.25,291.95,2416530,6971.864596,3738,
26-Jun-2018,294.95,282.35,292.95,5285978,15379.905294,3436,
27-Jun-2018,302.75,287.2,299.55,4099169,12253.4834895,7295,
28-Jun-2018,300,293.9,297.95,4702328,13959.355876,7010,
29-Jun-2018,307.95,295.6,300.55,3871075,11651.82045,2339,
